2026-07-15 19:49:40.868 | INFO     | app.services.signal_controller:update_all_signals:168 | update_all_signals: updated 4 junction(s).
2026-07-15 19:49:40.869 | DEBUG    | app.services.kpi_service:compute_kpis:107 | KPIs: vehicles=0, avg_speed=0.00 m/s, alerts=0, congestion=0.0%
2026-07-15 19:49:40.869 | DEBUG    | app.core.state_store:update_all:60 | State store updated at sim_time=0.0s
2026-07-15 19:49:41.855 | WARNING  | app.services.traci_session:step:165 | step() called while not connected – returning cached time.
2026-07-15 19:49:41.855 | ERROR    | app.services.vehicle_data_service:_collect_from_traci:126 | TraCI getIDList() failed: Connection already closed.
2026-07-15 19:49:41.856 | DEBUG    | app.services.lane_count_service:count_per_lane:49 | count_per_lane result: {}
2026-07-15 19:49:41.856 | DEBUG    | app.services.density_calculator:calculate_all_densities:123 | calculate_all_densities: 4 lane(s), avg=0.00
2026-07-15 19:49:41.857 | DEBUG    | app.services.congestion_detector:detect:75 | detect(): 0 congested lane(s) of 4 monitored.
2026-07-15 19:49:41.857 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionA: Connection already closed.
2026-07-15 19:49:41.857 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionA: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:41.858 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionB: Connection already closed.
2026-07-15 19:49:41.858 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionB: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:41.859 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionC: Connection already closed.
2026-07-15 19:49:41.860 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionC: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:41.861 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionD: Connection already closed.
2026-07-15 19:49:41.862 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionD: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:41.863 | INFO     | app.services.signal_controller:update_all_signals:168 | update_all_signals: updated 4 junction(s).
2026-07-15 19:49:41.864 | DEBUG    | app.services.kpi_service:compute_kpis:107 | KPIs: vehicles=0, avg_speed=0.00 m/s, alerts=0, congestion=0.0%
2026-07-15 19:49:41.864 | DEBUG    | app.core.state_store:update_all:60 | State store updated at sim_time=0.0s
2026-07-15 19:49:42.862 | WARNING  | app.services.traci_session:step:165 | step() called while not connected – returning cached time.
2026-07-15 19:49:42.862 | ERROR    | app.services.vehicle_data_service:_collect_from_traci:126 | TraCI getIDList() failed: Connection already closed.
2026-07-15 19:49:42.863 | DEBUG    | app.services.lane_count_service:count_per_lane:49 | count_per_lane result: {}
2026-07-15 19:49:42.863 | DEBUG    | app.services.density_calculator:calculate_all_densities:123 | calculate_all_densities: 4 lane(s), avg=0.00
2026-07-15 19:49:42.863 | DEBUG    | app.services.congestion_detector:detect:75 | detect(): 0 congested lane(s) of 4 monitored.
2026-07-15 19:49:42.863 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionA: Connection already closed.
2026-07-15 19:49:42.864 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionA: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:42.864 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionB: Connection already closed.
2026-07-15 19:49:42.865 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionB: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:42.866 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionC: Connection already closed.
2026-07-15 19:49:42.867 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionC: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:42.868 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionD: Connection already closed.
2026-07-15 19:49:42.869 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionD: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:42.869 | INFO     | app.services.signal_controller:update_all_signals:168 | update_all_signals: updated 4 junction(s).
2026-07-15 19:49:42.870 | DEBUG    | app.services.kpi_service:compute_kpis:107 | KPIs: vehicles=0, avg_speed=0.00 m/s, alerts=0, congestion=0.0%
2026-07-15 19:49:42.870 | DEBUG    | app.core.state_store:update_all:60 | State store updated at sim_time=0.0s
2026-07-15 19:49:43.877 | WARNING  | app.services.traci_session:step:165 | step() called while not connected – returning cached time.
2026-07-15 19:49:43.877 | ERROR    | app.services.vehicle_data_service:_collect_from_traci:126 | TraCI getIDList() failed: Connection already closed.
2026-07-15 19:49:43.877 | DEBUG    | app.services.lane_count_service:count_per_lane:49 | count_per_lane result: {}
2026-07-15 19:49:43.878 | DEBUG    | app.services.density_calculator:calculate_all_densities:123 | calculate_all_densities: 4 lane(s), avg=0.00
2026-07-15 19:49:43.878 | DEBUG    | app.services.congestion_detector:detect:75 | detect(): 0 congested lane(s) of 4 monitored.
2026-07-15 19:49:43.878 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionA: Connection already closed.
2026-07-15 19:49:43.878 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionA: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:43.879 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionB: Connection already closed.
2026-07-15 19:49:43.879 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionB: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:43.880 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionC: Connection already closed.
2026-07-15 19:49:43.881 | INFO     | app.utils.logger:log_signal_change:126 | Signal changed at junctionC: GREEN → GREEN for 20.0s (DensityLevel.LOW density detected → 20.0s green phase)
2026-07-15 19:49:43.882 | WARNING  | app.services.signal_controller:apply_signal:135 | TraCI setPhase failed for junctionD: Connection already closed.
